S.No,Party Name,Date,Due Date,Total Amount,Balance,Type,Status
1,Business Partner 41,24/04/2024,27/04/2024,389786,107202.58,Sales Invoice,Pending
2,Business Partner 48,14/04/2024,09/07/2024,389323,347346.03,Purchase Order,Order Overdue
3,Business Partner 28,02/02/2024,05/02/2024,50123,10958.79,Debit Note,Order Overdue
4,Business Partner 02,28/07/2025,22/08/2025,376400,244616.5,Debit Note,Overdue
5,Business Partner 15,04/04/2025,18/06/2025,146852,118866.48,Purchase Order,Pending
6,Business Partner 45,08/03/2025,20/04/2025,146684,22806.35,Payment,Paid
7,Business Partner 06,24/01/2025,05/02/2025,189208,160352.71,Debit Note,Partially Paid
8,Business Partner 03,17/01/2026,16/03/2026,282137,35218.08,Credit Note,Paid
9,Business Partner 36,27/10/2024,15/01/2025,325282,288021.52,Payment,Order Overdue
10,Business Partner 13,22/12/2025,30/12/2025,25025,16548.11,Payment,Paid
11,Business Partner 15,06/06/2026,18/06/2026,200295,55676.72,Payment,Pending
12,Business Partner 24,29/12/2024,24/01/2025,352364,94073.37,Purchase Order,Order Overdue
13,Business Partner 41,24/06/2024,31/08/2024,383272,93829.17,Credit Note,Overdue
14,Business Partner 18,17/10/2025,13/01/2026,293002,64347.69,Payment,Paid
15,Business Partner 15,21/04/2026,25/04/2026,423075,133460.3,Payment,Paid
16,Business Partner 14,03/08/2025,12/09/2025,112477,73721.77,Credit Note,Overdue
17,Business Partner 10,28/09/2024,15/10/2024,130303,97074.3,Debit Note,Partially Paid
18,Business Partner 48,21/08/2025,14/10/2025,471717,275262.4,Payment,Pending
19,Business Partner 09,05/06/2025,07/08/2025,48662,36777.87,Purchase Order,Pending
20,Business Partner 41,12/06/2024,07/09/2024,222333,132601.41,Credit Note,Overdue
21,Business Partner 39,24/04/2025,30/06/2025,132813,128971.83,Purchase Order,Paid
22,Business Partner 44,03/07/2025,06/08/2025,403967,258927.41,Purchase Order,Partially Paid
23,Business Partner 28,10/06/2024,07/08/2024,2701,2576.26,Payment,Order Overdue
24,Business Partner 49,01/07/2024,03/09/2024,479479,51021.75,Payment,Order Overdue
25,Business Partner 39,22/07/2024,10/08/2024,197038,150243.6,Debit Note,Order Overdue
26,Business Partner 01,05/09/2025,16/10/2025,257170,5008.83,Payment,Partially Paid
27,Business Partner 16,29/02/2024,30/03/2024,461329,261738.21,Purchase Order,Paid
28,Business Partner 47,12/05/2025,20/05/2025,399774,212962.08,Sales Invoice,Pending
29,Business Partner 43,01/05/2025,10/07/2025,87574,23212.07,Debit Note,Overdue
30,Business Partner 14,06/07/2025,02/10/2025,106461,75901.26,Credit Note,Partially Paid
31,Business Partner 29,13/06/2025,09/08/2025,64441,15975.29,Purchase Order,Partially Paid
32,Business Partner 02,25/08/2025,03/11/2025,121646,71581.39,Purchase Order,Paid
33,Business Partner 46,08/10/2025,15/10/2025,121031,8157.53,Purchase Order,Partially Paid
34,Business Partner 05,10/06/2025,10/07/2025,147002,98341.07,Sales Invoice,Order Overdue
35,Business Partner 09,10/01/2026,24/03/2026,303100,143266.59,Credit Note,Overdue
36,Business Partner 13,06/04/2024,18/04/2024,346496,149357.51,Credit Note,Overdue
37,Business Partner 30,03/06/2026,09/06/2026,354036,231346.77,Purchase Order,Paid
38,Business Partner 26,15/01/2026,27/02/2026,420741,362540.96,Sales Invoice,Pending
39,Business Partner 13,03/07/2025,29/08/2025,74495,31428.07,Payment,Overdue
40,Business Partner 16,14/06/2026,23/06/2026,233328,188534.21,Debit Note,Paid
41,Business Partner 04,29/10/2025,06/01/2026,439319,6483.41,Purchase Order,Pending
42,Business Partner 11,20/02/2025,23/04/2025,253370,54157.15,Credit Note,Paid
43,Business Partner 11,23/01/2025,23/01/2025,205693,54550.41,Credit Note,Partially Paid
44,Business Partner 28,14/12/2025,23/02/2026,348011,250013.98,Sales Invoice,Pending
45,Business Partner 19,10/08/2024,17/08/2024,304657,224147.48,Purchase Order,Partially Paid
46,Business Partner 04,21/02/2024,05/05/2024,250974,126202.37,Debit Note,Pending
47,Business Partner 04,04/06/2025,14/06/2025,447348,83128.42,Debit Note,Paid
48,Business Partner 44,01/06/2026,01/07/2026,212694,25499.16,Debit Note,Pending
49,Business Partner 38,31/08/2025,05/09/2025,325734,26704.78,Debit Note,Order Overdue
50,Business Partner 34,19/11/2024,22/12/2024,108090,72390.68,Payment,Pending
51,Business Partner 17,09/02/2025,25/02/2025,353159,227964.41,Credit Note,Partially Paid
52,Business Partner 49,15/03/2024,16/03/2024,241273,149868.96,Debit Note,Paid
53,Business Partner 05,04/07/2025,31/07/2025,266229,70604.04,Payment,Paid
54,Business Partner 16,13/01/2025,18/02/2025,83704,36677.8,Debit Note,Partially Paid
55,Business Partner 40,06/04/2026,28/06/2026,278317,2177.3,Debit Note,Partially Paid
56,Business Partner 43,16/04/2024,03/05/2024,139656,16120.31,Purchase Order,Order Overdue
57,Business Partner 10,05/10/2024,10/11/2024,318105,67002.35,Payment,Pending
58,Business Partner 44,11/10/2025,13/11/2025,265979,129939.21,Purchase Order,Paid
59,Business Partner 41,09/03/2025,13/04/2025,24114,85.5,Sales Invoice,Partially Paid
60,Business Partner 11,29/01/2026,26/03/2026,290239,204812.21,Debit Note,Paid
61,Business Partner 08,18/03/2024,14/06/2024,474918,70788.56,Purchase Order,Partially Paid
62,Business Partner 38,19/07/2025,06/08/2025,226332,28845.0,Payment,Partially Paid
63,Business Partner 03,01/01/2025,27/01/2025,358599,89481.11,Purchase Order,Partially Paid
64,Business Partner 50,27/07/2025,17/09/2025,326405,244633.24,Sales Invoice,Pending
65,Business Partner 12,26/02/2025,01/03/2025,95036,70000.14,Payment,Overdue
66,Business Partner 43,03/06/2026,04/07/2026,140883,22428.27,Purchase Order,Overdue
67,Business Partner 03,29/05/2026,28/07/2026,117619,23473.56,Credit Note,Partially Paid
68,Business Partner 20,20/04/2026,19/05/2026,117876,2789.47,Sales Invoice,Overdue
69,Business Partner 22,12/10/2024,20/10/2024,406445,113448.96,Debit Note,Overdue
70,Business Partner 44,13/05/2026,20/07/2026,174617,164006.77,Purchase Order,Partially Paid
71,Business Partner 12,17/08/2025,19/09/2025,21057,2282.63,Credit Note,Partially Paid
72,Business Partner 47,16/03/2026,25/04/2026,229796,139304.37,Debit Note,Paid
73,Business Partner 25,13/08/2025,06/09/2025,134547,5972.07,Credit Note,Paid
74,Business Partner 34,05/04/2026,12/06/2026,361110,259793.37,Sales Invoice,Partially Paid
75,Business Partner 28,12/03/2024,05/06/2024,483749,159733.94,Payment,Paid
76,Business Partner 47,03/11/2024,06/01/2025,163154,108806.24,Payment,Overdue
77,Business Partner 45,29/10/2024,07/01/2025,67735,12994.29,Credit Note,Pending
78,Business Partner 40,05/08/2025,12/09/2025,213900,117203.77,Purchase Order,Partially Paid
79,Business Partner 19,03/08/2024,27/09/2024,412963,239512.26,Payment,Overdue
80,Business Partner 29,28/03/2025,22/06/2025,113041,57783.62,Sales Invoice,Paid
81,Business Partner 19,11/06/2025,03/09/2025,332843,206116.62,Purchase Order,Pending
82,Business Partner 44,13/11/2024,11/12/2024,423871,84405.4,Purchase Order,Paid
83,Business Partner 16,01/05/2025,18/07/2025,446507,343135.87,Credit Note,Overdue
84,Business Partner 41,12/08/2025,05/09/2025,377620,262957.29,Credit Note,Overdue
